99911111111;1;50
99922222222;1;51
99933333333;1;52
99944444444;1;53
99955555555;1;54
99966666666;1;55
99977777777;1;56
99988888888;1;57
99999999999;1;58
99910101010;1;59
99911111112;1;60
99912121212;1;50
99913131313;1;51
99914141414;1;52
99915151515;1;53
99916161616;1;54
99917171717;1;55
99918181818;1;56
99919191919;1;57
99920202020;1;58
99921212121;1;59
99922222223;1;60
99923232323;1;50
99924242424;1;51
99925252525;1;52
99926262626;1;53
99927272727;1;54
99928282828;1;55
99929292929;1;56
99930303030;1;57
99931313131;1;22
99932323232;1;24
99933333334;1;26
99934343434;1;28
99935353535;1;30
99936363636;1;32
99937373737;1;34
99938383838;1;36
99939393939;1;38
99940404040;1;40
99941414141;1;80
99942424242;1;82
99943434343;1;84
99944444445;1;86
99945454545;1;88
99946464646;1;90
99947474747;1;92
99948484848;1;94
99949494949;1;96
99950505050;1;98
